Origin/Destination,start station name,Route,start station latitude,start station longitude
Origin,Harborside,Harborside_to_Jackson Square,40.7192517,-74.034234
Destination,Jackson Square,Harborside_to_Jackson Square,40.71113,-74.0789
Origin,Harborside,Harborside_to_JC Medical Center,40.7192517,-74.034234
Destination,JC Medical Center,Harborside_to_JC Medical Center,40.71653978,-74.04963791
Origin,Harborside,Harborside_to_Jersey & 3rd,40.7192517,-74.034234
Destination,Jersey & 3rd,Harborside_to_Jersey & 3rd,40.72333159,-74.04595256
Origin,Harborside,Harborside_to_Jersey & 6th St,40.7192517,-74.034234
Destination,Jersey & 6th St,Harborside_to_Jersey & 6th St,40.72528911,-74.04557168
Origin,Harborside,Harborside_to_Journal Square,40.7192517,-74.034234
Destination,Journal Square,Harborside_to_Journal Square,40.73367,-74.0625
Origin,Harborside,Harborside_to_Lafayette Park,40.7192517,-74.034234
Destination,Lafayette Park,Harborside_to_Lafayette Park,40.71346383,-74.06285852
Origin,Harborside,Harborside_to_Leonard Gordon Park,40.7192517,-74.034234
Destination,Leonard Gordon Park,Harborside_to_Leonard Gordon Park,40.74590997,-74.05727148
Origin,Harborside,Harborside_to_Liberty Light Rail,40.7192517,-74.034234
Destination,Liberty Light Rail,Harborside_to_Liberty Light Rail,40.7112423,-74.0557013
Origin,Harborside,Harborside_to_Lincoln Park,40.7192517,-74.034234
Destination,Lincoln Park,Harborside_to_Lincoln Park,40.7246051,-74.07840595
Origin,Harborside,Harborside_to_Manila & 1st,40.7192517,-74.034234
Destination,Manila & 1st,Harborside_to_Manila & 1st,40.72165072,-74.04288411
Origin,Harborside,Harborside_to_Marin Light Rail,40.7192517,-74.034234
Destination,Marin Light Rail,Harborside_to_Marin Light Rail,40.71458404,-74.04281706
Origin,Harborside,Harborside_to_McGinley Square,40.7192517,-74.034234
Destination,McGinley Square,Harborside_to_McGinley Square,40.72533993,-74.06762213
Origin,Harborside,Harborside_to_Monmouth and 6th,40.7192517,-74.034234
Destination,Monmouth and 6th,Harborside_to_Monmouth and 6th,40.72568548,-74.04879034
Origin,Harborside,Harborside_to_Montgomery St,40.7192517,-74.034234
Destination,Montgomery St,Harborside_to_Montgomery St,40.71942,-74.05099
Origin,Harborside,Harborside_to_Morris Canal,40.7192517,-74.034234
Destination,Morris Canal,Harborside_to_Morris Canal,40.71241882,-74.03852552
Origin,Harborside,Harborside_to_Newark Ave,40.7192517,-74.034234
Destination,Newark Ave,Harborside_to_Newark Ave,40.72152515,-74.04630454
Origin,Harborside,Harborside_to_Newport PATH,40.7192517,-74.034234
Destination,Newport PATH,Harborside_to_Newport PATH,40.7272235,-74.0337589
Origin,Harborside,Harborside_to_Newport Pkwy,40.7192517,-74.034234
Destination,Newport Pkwy,Harborside_to_Newport Pkwy,40.7287448,-74.0321082
Origin,Harborside,Harborside_to_Oakland Ave,40.7192517,-74.034234
Destination,Oakland Ave,Harborside_to_Oakland Ave,40.7376037,-74.0524783
Origin,Harborside,Harborside_to_Paulus Hook,40.7192517,-74.034234
Destination,Paulus Hook,Harborside_to_Paulus Hook,40.7141454,-74.0335519
Origin,Harborside,Harborside_to_Pershing Field,40.7192517,-74.034234
Destination,Pershing Field,Harborside_to_Pershing Field,40.74267714,-74.05178863
Origin,Harborside,Harborside_to_Riverview Park,40.7192517,-74.034234
Destination,Riverview Park,Harborside_to_Riverview Park,40.7443187,-74.0439909
Origin,Harborside,Harborside_to_Sip Ave,40.7192517,-74.034234
Destination,Sip Ave,Harborside_to_Sip Ave,40.73086813,-74.06388849
Origin,Harborside,Harborside_to_Union St,40.7192517,-74.034234
Destination,Union St,Harborside_to_Union St,40.7182113,-74.0836394
Origin,Harborside,Harborside_to_Van Vorst Park,40.7192517,-74.034234
Destination,Van Vorst Park,Harborside_to_Van Vorst Park,40.71848892,-74.04772663
Origin,Harborside,Harborside_to_Warren St,40.7192517,-74.034234
Destination,Warren St,Harborside_to_Warren St,40.7211236,-74.03805095
Origin,Harborside,Harborside_to_Washington St,40.7192517,-74.034234
Destination,Washington St,Harborside_to_Washington St,40.7242941,-74.0354826
